Year,Team,matches_total,wins_total,draws_total,losses_total,goals_for_total,goals_against_total,avg_attendance,away_matches,home_matches,away_wins,home_wins,away_avg_attendance,home_avg_attendance,win_attendance_avg,away_win_attendance_avg,home_win_attendance_avg,goal_balance_total,win_rate_total,home_win_rate,away_win_rate,home_away_win_rate_delta,attendance_win_minus_avg,home_away_win_attendance_delta,HostCountry,Winner,QualifiedTeams,tournament_matches_played,tournament_attendance,is_host_team,is_world_cup_winner
2006.0,Argentina,5,3,2,0,11.0,3.0,52896.0,2.0,3.0,0.0,3.0,60000.0,48160.0,48160.0,0.0,48160.0,8.0,0.6,1.0,0.0,1.0,-4736.0,48160.0,Germany,Italy,32,64,3359439,0,0
2006.0,Australia,4,1,1,2,5.0,6.0,52500.0,3.0,1.0,0.0,1.0,54666.666666666664,46000.0,46000.0,0.0,46000.0,-1.0,0.25,1.0,0.0,1.0,-6500.0,46000.0,Germany,Italy,32,64,3359439,0,0
2006.0,Brazil,5,4,0,1,10.0,2.0,63200.0,1.0,4.0,1.0,3.0,65000.0,62750.0,67000.0,65000.0,67666.66666666667,8.0,0.8,0.75,1.0,-0.25,3800.0,2666.6666666666715,Germany,Italy,32,64,3359439,0,0
2006.0,Costa Rica,3,0,0,3,3.0,9.0,53000.0,2.0,1.0,0.0,0.0,58000.0,43000.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,-53000.0,0.0,Germany,Italy,32,64,3359439,0,0
2006.0,Croatia,3,0,2,1,2.0,3.0,55000.0,2.0,1.0,0.0,0.0,56500.0,52000.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-55000.0,0.0,Germany,Italy,32,64,3359439,0,0
2006.0,Czech Republic,3,1,0,2,3.0,4.0,49000.0,1.0,2.0,1.0,0.0,52000.0,47500.0,52000.0,52000.0,0.0,-1.0,0.3333333333333333,0.0,1.0,-1.0,3000.0,-52000.0,Germany,Italy,32,64,3359439,0,0
2006.0,C�te d'Ivoire,3,1,0,2,5.0,6.0,55826.666666666664,2.0,1.0,0.0,1.0,50740.0,66000.0,66000.0,0.0,66000.0,-1.0,0.3333333333333333,1.0,0.0,1.0,10173.333333333336,66000.0,Germany,Italy,32,64,3359439,0,0
2006.0,Ecuador,4,2,0,2,5.0,4.0,56500.0,2.0,2.0,1.0,1.0,52000.0,61000.0,51000.0,52000.0,50000.0,1.0,0.5,0.5,0.5,0.0,-5500.0,-2000.0,Germany,Italy,32,64,3359439,0,0
2006.0,England,5,3,2,0,6.0,2.0,47600.0,1.0,4.0,0.0,3.0,45000.0,48250.0,47000.0,0.0,47000.0,4.0,0.6,0.75,0.0,0.75,-600.0,47000.0,Germany,Italy,32,64,3359439,0,0
2006.0,France,7,4,3,0,9.0,3.0,52285.71428571428,5.0,2.0,4.0,0.0,54200.0,47500.0,50500.0,50500.0,0.0,6.0,0.5714285714285714,0.0,0.8,-0.8,-1785.7142857142826,-50500.0,Germany,Italy,32,64,3359439,0,0
