Year,Datetime,Stage,Stadium,City,HomeTeamName,HomeTeamGoals,AwayTeamGoals,AwayTeamName,Winconditions,Attendance,HalftimeHomeGoals,HalftimeAwayGoals,Referee,Assistant1,Assistant2,RoundID,MatchID,HomeTeamInitials,AwayTeamInitials
1954,1954-06-23 18:00,Group 2,Hardturm,Zurich,Germany FR,7,2,Turkey,,17000,3,1,VINCENTI RAYMOND (FRA),FAULTLESS CHARLIE (SCO),DOERFLINGER ERNST (SUI),211,1284,FRG,TUR
1954,1954-06-23 18:00,Group 4,St. Jakob,Basel,Switzerland,4,1,Italy,,30000,1,0,GRIFFITHS BENJAMIN (WAL),DA COSTA VIEIRA JOSE (POR),LING WILLIAM (ENG),211,1301,SUI,ITA
1954,1954-06-26 17:00,Quarter-finals,St. Jakob,Basel,Uruguay,4,2,England,,28000,2,1,STEINER CARL (AUT),STEFANOVIC VASA (YUG),ORLANDINI VINCENZO (ITA),212,1264,URU,ENG
1954,1954-06-26 17:00,Quarter-finals,La Pontaise,Lausanne,Austria,7,5,Switzerland,,35000,5,4,FAULTLESS CHARLIE (SCO),ASENSI MANUEL (ESP),SCHMETZER EMIL (FRG),212,1237,AUT,SUI
1954,1954-06-27 17:00,Quarter-finals,Charmilles,Geneva,Germany FR,2,0,Yugoslavia,,17000,1,0,ZSOLT ISTVAN (HUN),FRANKEN LAURENT (BEL),BUCHMUELLER FRITZ (SUI),212,1285,FRG,YUG
1954,1954-06-27 17:00,Quarter-finals,Wankdorf Stadium,Berne,Hungary,4,2,Brazil,,40000,2,1,ELLIS ARTHUR (ENG),LING WILLIAM (ENG),WYSSLING PAUL (SUI),212,1248,HUN,BRA
1954,1954-06-30 18:00,Semi-finals,St. Jakob,Basel,Germany FR,6,1,Austria,,58000,1,0,ORLANDINI VINCENZO (ITA),ELLIS ARTHUR (ENG),BUCHMUELLER FRITZ (SUI),462,1233,FRG,AUT
1954,1954-06-30 18:00,Semi-finals,La Pontaise,Lausanne,Hungary,4,2,Uruguay,Hungary win after extra time,45000,0,0,GRIFFITHS BENJAMIN (WAL),FAULTLESS CHARLIE (SCO),VINCENTI RAYMOND (FRA),462,1295,HUN,URU
1954,1954-07-03 17:00,Match for third place,Hardturm,Zurich,Austria,3,1,Uruguay,,32000,1,1,WYSSLING PAUL (SUI),ZSOLT ISTVAN (HUN),ELLIS ARTHUR (ENG),3485,1239,AUT,URU
1954,1954-07-04 17:00,Final,Wankdorf Stadium,Berne,Germany FR,3,2,Hungary,,62500,2,2,LING WILLIAM (ENG),ORLANDINI VINCENZO (ITA),GRIFFITHS BENJAMIN (WAL),3484,1278,FRG,HUN
1958,1958-06-08 14:00,Group 3,Rasunda Stadium,Solna,Sweden,3,0,Mexico,,34107,1,0,LATYCHEV NIKOLAJ (URS),MOWAT JACK (SCO),ERIKSSON ARNE (FIN),220,1415,SWE,MEX
1958,1958-06-08 19:00,Group 4,Nya Ullevi,Gothenburg,Soviet Union,2,2,England,,49348,1,0,ZSOLT ISTVAN (HUN),NILSEN BIRGER (NOR),JORGENSEN CARL FREDERIK (DEN),220,1372,URS,ENG
1958,1958-06-08 19:00,Group 1,Malmo Stadion,Malm�,Argentina,1,3,Germany FR,,31156,1,2,LEAFE REGINALD (ENG),HELGE LEO (DEN),AHLNER STEN (SWE),220,1323,ARG,FRG
1958,1958-06-08 19:00,Group 3,Jarnvallen,Sandviken,Hungary,1,1,Wales,,15343,1,1,CODESAL JOSE MARIA (URU),LEMESIC LEO (YUG),VAN NUFFEL LUCIEN (BEL),220,1407,HUN,WAL
1958,1958-06-08 19:00,Group 2,Idrottsparken,Norrk�Ping,France,7,3,Paraguay,,16518,2,2,GARDEAZABAL JUAN (ESP),GRIFFITHS BENJAMIN (WAL),BROZZI JUAN (ARG),220,1386,FRA,PAR
1958,1958-06-08 19:00,Group 2,Arosvallen,Vasteras,Yugoslavia,1,1,Scotland,,9591,1,0,WYSSLING PAUL (SUI),ORLANDINI VINCENZO (ITA),MACKO MARTIN (TCH),220,1434,YUG,SCO
1958,1958-06-08 19:00,Group 4,Rimnersvallen,Udevalla,Brazil,3,0,Austria,,17788,1,0,GUIGUE MAURICE (FRA),DUSCH ALBERT (GER),BRONKHORST JAN (NED),220,1326,BRA,AUT
1958,1958-06-08 19:00,Group 1,Orjans Vall,Halmstad,Northern Ireland,1,0,Czechoslovakia,,10647,1,0,SEIPELT FRITZ (AUT),ELLIS ARTHUR (ENG),FERNANDES CAMPOS JOAQUIM (POR),220,1421,NIR,TCH
1958,1958-06-11 19:00,Group 4,Nya Ullevi,Gothenburg,Brazil,0,0,England,,40895,0,0,DUSCH ALBERT (GER),LOEOEW BERTIL (SWE),ZSOLT ISTVAN (HUN),220,1339,BRA,ENG
1958,1958-06-11 19:00,Group 3,Rasunda Stadium,Solna,Mexico,1,1,Wales,,15150,0,1,LEMESIC LEO (YUG),LATYCHEV NIKOLAJ (URS),CODESAL JOSE MARIA (URU),220,1418,MEX,WAL
1958,1958-06-11 19:00,Group 2,Idrottsparken,Norrk�Ping,Paraguay,3,2,Scotland,,11665,2,1,ORLANDINI VINCENZO (ITA),GARDEAZABAL JUAN (ESP),ANDREN BENGT (SWE),220,1423,PAR,SCO
